"QW","S - Comp","NGD","WGD","Isc","Jsc (mA/cm2","Voc (V","FF (%","Efficiency (%"
"2","0.2","1000000000000","0.05","4.07E-10","20.33","0.849","87.10","15.03"
"3","0.2","1000000000000","0.05","4.34E-10","21.69","0.835","86.23","15.61"
"4","0.2","1000000000000","0.05","4.62E-10","23.08","0.823","86.38","16.41"
"5","0.2","1000000000000","0.05","4.86E-10","24.32","0.818","85.70","17.06"
"10","0.2","1000000000000","0.05","5.85E-10","29.26","0.800","86.03","20.13"
"20","0.2","1000000000000","0.05","6.94E-10","34.71","0.783","85.88","23.33"
"30","0.2","1000000000000","0.05","7.58E-10","37.91","0.773","85.57","25.09"
"50","0.2","1000000000000","0.05","8.33E-10","41.63","0.763","85.36","27.11"
"70","0.2","1000000000000","0.05","8.77E-10","43.84","0.756","84.89","28.12"
"100","0.2","1000000000000","0.05","9.20E-10","46.01","0.748","84.66","29.12"
"2","0.2","10000000000000","0.05","4.07E-10","20.33","0.849","87.10","15.03"
"3","0.2","10000000000000","0.05","4.34E-10","21.69","0.835","86.23","15.61"
"4","0.2","10000000000000","0.05","4.62E-10","23.08","0.823","86.38","16.41"
"5","0.2","10000000000000","0.05","4.86E-10","24.32","0.818","85.70","17.06"
"10","0.2","10000000000000","0.05","5.85E-10","29.26","0.800","86.03","20.13"
"20","0.2","10000000000000","0.05","6.94E-10","34.71","0.783","85.88","23.33"
"30","0.2","10000000000000","0.05","7.58E-10","37.91","0.773","85.57","25.09"
"50","0.2","10000000000000","0.05","8.33E-10","41.63","0.763","85.36","27.11"
"70","0.2","10000000000000","0.05","8.77E-10","43.84","0.756","84.89","28.12"
"100","0.2","10000000000000","0.05","9.20E-10","46.01","0.748","84.66","29.12"
"2","0.2","100000000000000","0.05","4.06E-10","20.32","0.849","87.10","15.03"
"3","0.2","100000000000000","0.05","4.34E-10","21.69","0.835","86.23","15.61"
"4","0.2","100000000000000","0.05","4.62E-10","23.08","0.823","86.38","16.41"
"5","0.2","100000000000000","0.05","4.86E-10","24.32","0.818","85.70","17.06"
"10","0.2","100000000000000","0.05","5.85E-10","29.26","0.800","86.02","20.13"
"20","0.2","100000000000000","0.05","6.94E-10","34.71","0.783","85.87","23.33"
"30","0.2","100000000000000","0.05","7.58E-10","37.91","0.773","85.57","25.09"
"50","0.2","100000000000000","0.05","8.33E-10","41.63","0.763","85.35","27.10"
"70","0.2","100000000000000","0.05","8.77E-10","43.84","0.756","84.89","28.12"
"100","0.2","100000000000000","0.05","9.20E-10","46.01","0.748","84.65","29.12"
"2","0.2","1000000000000000","0.05","4.06E-10","20.31","0.849","87.10","15.02"
"3","0.2","1000000000000000","0.05","4.34E-10","21.68","0.835","86.23","15.60"
"4","0.2","1000000000000000","0.05","4.67E-10","23.35","0.824","87.02","16.73"
"5","0.2","1000000000000000","0.05","4.86E-10","24.31","0.818","85.70","17.05"
"10","0.2","1000000000000000","0.05","5.85E-10","29.25","0.800","86.00","20.11"
"20","0.2","1000000000000000","0.05","6.94E-10","34.71","0.783","85.83","23.31"
"30","0.2","1000000000000000","0.05","7.58E-10","37.91","0.773","85.55","25.07"
"50","0.2","1000000000000000","0.05","8.33E-10","41.63","0.763","85.28","27.07"
"70","0.2","1000000000000000","0.05","8.77E-10","43.84","0.755","84.86","28.09"
"100","0.2","1000000000000000","0.05","9.20E-10","46.01","0.747","84.58","29.08"
"2","0.2","1.0E+16","0.05","4.04E-10","20.21","0.848","87.09","14.93"
"3","0.2","1.0E+16","0.05","4.32E-10","21.58","0.835","86.23","15.53"
"4","0.2","1.0E+16","0.05","4.60E-10","22.98","0.823","86.38","16.34"
"5","0.2","1.0E+16","0.05","4.84E-10","24.22","0.818","85.70","16.99"
"10","0.2","1.0E+16","0.05","5.84E-10","29.18","0.797","85.69","19.93"
"20","0.2","1.0E+16","0.05","6.93E-10","34.66","0.781","85.35","23.10"
"30","0.2","1.0E+16","0.05","7.57E-10","37.87","0.770","85.33","24.89"
"50","0.2","1.0E+16","0.05","8.32E-10","41.60","0.760","84.59","26.76"
"70","0.2","1.0E+16","0.05","8.76E-10","43.82","0.752","84.55","27.84"
"100","0.2","1.0E+16","0.05","9.20E-10","45.99","0.744","83.87","28.71"
"2","0.2","1.0E+17","0.05","3.88E-10","19.42","0.841","86.67","14.15"
"3","0.2","1.0E+17","0.05","4.16E-10","20.79","0.833","86.28","14.95"
"4","0.2","1.0E+17","0.05","4.52E-10","22.58","0.815","86.46","15.90"
"5","0.2","1.0E+17","0.05","4.71E-10","23.53","0.817","85.72","16.48"
"10","0.2","1.0E+17","0.05","5.73E-10","28.66","0.782","84.23","18.87"
"20","0.2","1.0E+17","0.05","6.85E-10","34.27","0.762","83.77","21.88"
"30","0.2","1.0E+17","0.05","7.51E-10","37.55","0.750","83.70","23.59"
"50","0.2","1.0E+17","0.05","8.27E-10","41.37","0.738","83.04","25.34"
"70","0.2","1.0E+17","0.05","8.73E-10","43.63","0.728","82.44","26.19"
"100","0.2","1.0E+17","0.05","9.17E-10","45.84","0.721","81.65","26.97"
"2","0.2","1.0E+18","0.05","3.41E-10","17.03","0.802","85.77","11.72"
"3","0.2","1.0E+18","0.05","3.71E-10","18.53","0.830","86.40","13.29"
"4","0.2","1.0E+18","0.05","4.10E-10","20.49","0.777","85.24","13.57"
"5","0.2","1.0E+18","0.05","4.31E-10","21.54","0.814","85.78","15.05"
"10","0.2","1.0E+18","0.05","5.40E-10","26.99","0.725","82.29","16.09"
"20","0.2","1.0E+18","0.05","6.61E-10","33.03","0.703","82.09","19.05"
"30","0.2","1.0E+18","0.05","7.31E-10","36.54","0.689","82.19","20.70"
"50","0.2","1.0E+18","0.05","8.12E-10","40.62","0.675","81.48","22.34"
"70","0.2","1.0E+18","0.05","8.60E-10","43.02","0.666","80.47","23.06"
"100","0.2","1.0E+18","0.05","9.07E-10","45.35","0.659","79.19","23.68"
"2","0.2","1E+19","0.05","3.04E-10","15.18","0.741","84.06","9.46"
"3","0.2","1E+19","0.05","3.33E-10","16.63","0.714","83.20","9.87"
"4","0.2","1E+19","0.05","3.78E-10","18.89","0.816","85.95","13.25"
"5","0.2","1E+19","0.05","4.07E-10","20.36","0.812","85.99","14.21"
"10","0.2","1E+19","0.05","5.08E-10","25.40","0.647","80.26","13.19"
"20","0.2","1E+19","0.05","6.37E-10","31.86","0.629","80.35","16.11"
"30","0.2","1E+19","0.05","7.12E-10","35.61","0.620","79.69","17.60"
"50","0.2","1E+19","0.05","7.99E-10","39.93","0.606","79.00","19.12"
"70","0.2","1E+19","0.05","8.49E-10","42.45","0.600","77.70","19.78"
"100","0.2","1E+19","0.05","8.97E-10","44.87","0.592","75.59","20.08"
"2","0.2","1000000000000","0.1","4.07E-10","20.33","0.849","87.10","15.03"
"3","0.2","1000000000000","0.1","4.34E-10","21.69","0.835","86.23","15.61"
"4","0.2","1000000000000","0.1","4.62E-10","23.08","0.823","86.38","16.41"
"5","0.2","1000000000000","0.1","4.86E-10","24.32","0.818","85.70","17.06"
"10","0.2","1000000000000","0.1","5.85E-10","29.26","0.800","86.03","20.13"
"20","0.2","1000000000000","0.1","6.94E-10","34.71","0.783","85.88","23.33"
"30","0.2","1000000000000","0.1","7.58E-10","37.91","0.773","85.57","25.09"
"50","0.2","1000000000000","0.1","8.33E-10","41.63","0.763","85.35","27.11"
"70","0.2","1000000000000","0.1","8.77E-10","43.84","0.756","84.89","28.12"
"100","0.2","1000000000000","0.1","9.20E-10","46.01","0.748","84.66","29.12"
"2","0.2","10000000000000","0.1","4.07E-10","20.33","0.849","87.10","15.03"
"3","0.2","10000000000000","0.1","4.34E-10","21.69","0.835","86.23","15.61"
"4","0.2","10000000000000","0.1","4.62E-10","23.08","0.823","86.38","16.41"
"5","0.2","10000000000000","0.1","4.86E-10","24.32","0.818","85.70","17.06"
"10","0.2","10000000000000","0.1","5.85E-10","29.26","0.800","86.02","20.13"
"20","0.2","10000000000000","0.1","6.94E-10","34.71","0.783","85.87","23.33"
"30","0.2","10000000000000","0.1","7.58E-10","37.91","0.773","85.57","25.09"
"50","0.2","10000000000000","0.1","8.33E-10","41.63","0.763","85.34","27.10"
"70","0.2","10000000000000","0.1","8.77E-10","43.84","0.756","84.88","28.12"
"100","0.2","10000000000000","0.1","9.20E-10","46.01","0.748","84.64","29.11"
"2","0.2","100000000000000","0.1","4.06E-10","20.32","0.849","87.10","15.03"
"3","0.2","100000000000000","0.1","4.35E-10","21.77","0.834","86.46","15.70"
"4","0.2","100000000000000","0.1","4.62E-10","23.08","0.823","86.38","16.41"
"5","0.2","100000000000000","0.1","4.86E-10","24.32","0.818","85.70","17.05"
"10","0.2","100000000000000","0.1","5.85E-10","29.25","0.800","85.97","20.11"
"20","0.2","100000000000000","0.1","6.94E-10","34.71","0.783","85.78","23.30"
"30","0.2","100000000000000","0.1","7.58E-10","37.91","0.773","85.51","25.06"
"50","0.2","100000000000000","0.1","8.33E-10","41.63","0.762","85.20","27.04"
"70","0.2","100000000000000","0.1","8.77E-10","43.84","0.755","84.80","28.07"
"100","0.2","100000000000000","0.1","9.20E-10","46.01","0.747","84.48","29.04"
"2","0.2","1000000000000000","0.1","4.06E-10","20.30","0.848","87.09","15.00"
"3","0.2","1000000000000000","0.1","4.35E-10","21.75","0.833","86.47","15.67"
"4","0.2","1000000000000000","0.1","4.61E-10","23.05","0.823","86.38","16.39"
"5","0.2","1000000000000000","0.1","4.86E-10","24.29","0.818","85.70","17.04"
"10","0.2","1000000000000000","0.1","5.85E-10","29.24","0.797","85.45","19.90"
"20","0.2","1000000000000000","0.1","6.94E-10","34.70","0.780","84.88","22.98"
"30","0.2","1000000000000000","0.1","7.58E-10","37.90","0.769","84.93","24.76"
"50","0.2","1000000000000000","0.1","8.32E-10","41.62","0.759","84.11","26.56"
"70","0.2","1000000000000000","0.1","8.77E-10","43.83","0.750","83.90","27.57"
"100","0.2","1000000000000000","0.1","9.20E-10","46.00","0.743","82.97","28.34"
"2","0.2","1.0E+16","0.1","4.01E-10","20.05","0.844","86.92","14.71"
"3","0.2","1.0E+16","0.1","4.28E-10","21.42","0.834","86.25","15.41"
"4","0.2","1.0E+16","0.1","4.57E-10","22.83","0.823","86.37","16.23"
"5","0.2","1.0E+16","0.1","4.82E-10","24.09","0.818","85.71","16.89"
"10","0.2","1.0E+16","0.1","5.81E-10","29.07","0.779","83.18","18.84"
"20","0.2","1.0E+16","0.1","6.91E-10","34.57","0.756","82.57","21.57"
"30","0.2","1.0E+16","0.1","7.56E-10","37.79","0.743","82.16","23.06"
"50","0.2","1.0E+16","0.1","8.31E-10","41.54","0.726","81.34","24.54"
"70","0.2","1.0E+16","0.1","8.75E-10","43.76","0.717","80.33","25.20"
"100","0.2","1.0E+16","0.1","9.19E-10","45.94","0.706","79.29","25.72"
"2","0.2","1.0E+17","0.1","3.71E-10","18.55","0.816","85.89","12.99"
"3","0.2","1.0E+17","0.1","3.99E-10","19.97","0.832","86.34","14.35"
"4","0.2","1.0E+17","0.1","4.30E-10","21.49","0.822","86.25","15.23"
"5","0.2","1.0E+17","0.1","4.56E-10","22.82","0.816","85.74","15.97"
"10","0.2","1.0E+17","0.1","5.60E-10","27.99","0.710","80.39","15.98"
"20","0.2","1.0E+17","0.1","6.75E-10","33.75","0.684","80.07","18.49"
"30","0.2","1.0E+17","0.1","7.42E-10","37.11","0.669","79.65","19.78"
"50","0.2","1.0E+17","0.1","8.20E-10","41.01","0.651","78.62","21.00"
"70","0.2","1.0E+17","0.1","8.66E-10","43.31","0.642","77.61","21.57"
"100","0.2","1.0E+17","0.1","9.11E-10","45.55","0.631","76.03","21.86"
"2","0.2","1.0E+18","0.1","3.20E-10","15.98","0.755","84.53","10.19"
"3","0.2","1.0E+18","0.1","3.47E-10","17.33","0.715","83.31","10.32"
"4","0.2","1.0E+18","0.1","3.89E-10","19.45","0.814","85.90","13.61"
"5","0.2","1.0E+18","0.1","4.18E-10","20.90","0.811","85.92","14.57"
"10","0.2","1.0E+18","0.1","5.16E-10","25.79","0.621","76.41","12.25"
"20","0.2","1.0E+18","0.1","6.42E-10","32.11","0.603","76.72","14.85"
"30","0.2","1.0E+18","0.1","7.16E-10","35.78","0.591","76.28","16.13"
"50","0.2","1.0E+18","0.1","8.00E-10","39.99","0.578","74.85","17.30"
"70","0.2","1.0E+18","0.1","8.47E-10","42.36","0.569","72.87","17.55"
"100","0.2","1.0E+18","0.1","8.84E-10","44.22","0.561","68.62","17.03"
"2","0.2","1E+19","0.1","3.05E-10","15.24","0.817","85.51","10.65"
"3","0.2","1E+19","0.1","3.02E-10","15.10","0.578","78.80","6.88"
"4","0.2","1E+19","0.1","3.63E-10","18.13","0.574","76.97","8.00"
"5","0.2","1E+19","0.1","4.03E-10","20.13","0.769","80.98","12.53"
"10","0.2","1E+19","0.1","4.81E-10","24.03","0.536","73.18","9.43"
"20","0.2","1E+19","0.1","6.18E-10","30.91","0.526","72.40","11.78"
"30","0.2","1E+19","0.1","6.92E-10","34.62","0.519","69.82","12.54"
"50","0.2","1E+19","0.1","7.35E-10","36.74","0.504","63.03","11.67"
"70","0.2","1E+19","0.1","7.22E-10","36.12","0.610","71.75","15.81"
"100","0.2","1E+19","0.1","6.10E-10","30.50","0.597","69.45","12.64"
"2","0.2","1000000000000","0.15","4.07E-10","20.33","0.849","87.10","15.03"
"3","0.2","1000000000000","0.15","4.34E-10","21.69","0.835","86.23","15.61"
"4","0.2","1000000000000","0.15","4.62E-10","23.08","0.823","86.38","16.41"
"5","0.2","1000000000000","0.15","4.86E-10","24.32","0.818","85.70","17.06"
"10","0.2","1000000000000","0.15","5.85E-10","29.26","0.800","86.03","20.13"
"20","0.2","1000000000000","0.15","6.94E-10","34.71","0.783","85.87","23.33"
"30","0.2","1000000000000","0.15","7.58E-10","37.91","0.773","85.57","25.09"
"50","0.2","1000000000000","0.15","8.33E-10","41.63","0.763","85.35","27.10"
"70","0.2","1000000000000","0.15","8.77E-10","43.84","0.756","84.88","28.12"
"100","0.2","1000000000000","0.15","9.20E-10","46.01","0.748","84.65","29.12"
"2","0.2","10000000000000","0.15","4.06E-10","20.32","0.849","87.10","15.03"
"3","0.2","10000000000000","0.15","4.34E-10","21.69","0.835","86.23","15.61"
"4","0.2","10000000000000","0.15","4.62E-10","23.08","0.823","86.38","16.41"
"5","0.2","10000000000000","0.15","4.86E-10","24.32","0.818","85.70","17.06"
"10","0.2","10000000000000","0.15","5.85E-10","29.26","0.800","86.01","20.13"
"20","0.2","10000000000000","0.15","6.94E-10","34.71","0.783","85.84","23.32"
"30","0.2","10000000000000","0.15","7.58E-10","37.91","0.773","85.55","25.08"
"50","0.2","10000000000000","0.15","8.33E-10","41.63","0.763","85.30","27.08"
"70","0.2","10000000000000","0.15","8.77E-10","43.84","0.755","84.85","28.10"
"100","0.2","10000000000000","0.15","9.20E-10","46.01","0.748","84.59","29.09"
"2","0.2","100000000000000","0.15","4.06E-10","20.32","0.849","87.09","15.02"
"3","0.2","100000000000000","0.15","4.34E-10","21.68","0.835","86.23","15.61"
"4","0.2","100000000000000","0.15","4.62E-10","23.07","0.823","86.38","16.41"
"5","0.2","100000000000000","0.15","4.86E-10","24.31","0.818","85.70","17.05"
"10","0.2","100000000000000","0.15","5.85E-10","29.25","0.799","85.82","20.06"
"20","0.2","100000000000000","0.15","6.94E-10","34.71","0.782","85.55","23.22"
"30","0.2","100000000000000","0.15","7.58E-10","37.91","0.772","85.35","24.98"
"50","0.2","100000000000000","0.15","8.33E-10","41.63","0.762","84.81","26.89"
"70","0.2","100000000000000","0.15","8.77E-10","43.84","0.754","84.53","27.93"
"100","0.2","100000000000000","0.15","9.20E-10","46.01","0.746","83.99","28.82"
"2","0.2","1000000000000000","0.15","4.06E-10","20.28","0.848","87.07","14.97"
"3","0.2","1000000000000000","0.15","4.33E-10","21.64","0.835","86.23","15.58"
"4","0.2","1000000000000000","0.15","4.61E-10","23.03","0.823","86.38","16.38"
"5","0.2","1000000000000000","0.15","4.86E-10","24.28","0.818","85.70","17.03"
"10","0.2","1000000000000000","0.15","5.84E-10","29.22","0.792","84.77","19.61"
"20","0.2","1000000000000000","0.15","6.94E-10","34.68","0.773","83.97","22.52"
"30","0.2","1000000000000000","0.15","7.58E-10","37.89","0.763","83.30","24.07"
"50","0.2","1000000000000000","0.15","8.32E-10","41.61","0.749","82.44","25.68"
"70","0.2","1000000000000000","0.15","8.76E-10","43.82","0.741","81.72","26.54"
"100","0.2","1000000000000000","0.15","9.20E-10","45.99","0.731","80.68","27.12"
"2","0.2","1.0E+16","0.15","3.97E-10","19.87","0.839","86.46","14.42"
"3","0.2","1.0E+16","0.15","4.25E-10","21.25","0.834","86.26","15.29"
"4","0.2","1.0E+16","0.15","4.53E-10","22.67","0.823","86.35","16.11"
"5","0.2","1.0E+16","0.15","4.79E-10","23.93","0.818","85.72","16.78"
"10","0.2","1.0E+16","0.15","5.78E-10","28.92","0.752","81.17","17.65"
"20","0.2","1.0E+16","0.15","6.89E-10","34.45","0.724","80.66","20.12"
"30","0.2","1.0E+16","0.15","7.54E-10","37.69","0.708","80.26","21.42"
"50","0.2","1.0E+16","0.15","8.29E-10","41.45","0.689","79.23","22.62"
"70","0.2","1.0E+16","0.15","8.74E-10","43.68","0.678","77.94","23.08"
"100","0.2","1.0E+16","0.15","9.17E-10","45.85","0.666","76.41","23.34"
"2","0.2","1.0E+17","0.15","3.58E-10","17.88","0.798","85.37","12.18"
"3","0.2","1.0E+17","0.15","3.88E-10","19.39","0.831","86.39","13.92"
"4","0.2","1.0E+17","0.15","4.19E-10","20.94","0.821","86.10","14.80"
"5","0.2","1.0E+17","0.15","4.46E-10","22.31","0.815","85.79","15.60"
"10","0.2","1.0E+17","0.15","5.47E-10","27.35","0.664","77.56","14.09"
"20","0.2","1.0E+17","0.15","6.65E-10","33.23","0.640","77.33","16.45"
"30","0.2","1.0E+17","0.15","7.33E-10","36.67","0.625","77.16","17.68"
"50","0.2","1.0E+17","0.15","8.13E-10","40.65","0.608","76.15","18.81"
"70","0.2","1.0E+17","0.15","8.59E-10","42.97","0.599","74.65","19.21"
"100","0.2","1.0E+17","0.15","9.02E-10","45.11","0.589","72.46","19.25"
"2","0.2","1.0E+18","0.15","3.06E-10","15.28","0.723","83.81","9.26"
"3","0.2","1.0E+18","0.15","3.29E-10","16.43","0.658","81.62","8.83"
"4","0.2","1.0E+18","0.15","3.82E-10","19.08","0.632","80.84","9.74"
"5","0.2","1.0E+18","0.15","4.12E-10","20.61","0.802","83.15","13.73"
"10","0.2","1.0E+18","0.15","4.98E-10","24.91","0.569","73.57","10.43"
"20","0.2","1.0E+18","0.15","6.30E-10","31.51","0.558","73.74","12.96"
"30","0.2","1.0E+18","0.15","7.05E-10","35.25","0.548","72.87","14.08"
"50","0.2","1.0E+18","0.15","7.77E-10","38.86","0.536","69.14","14.41"
"70","0.2","1.0E+18","0.15","7.77E-10","38.84","0.526","64.93","13.26"
"100","0.2","1.0E+18","0.15","6.66E-10","33.30","0.513","59.86","10.22"
"2","0.2","1E+19","0.15","2.65E-10","13.23","0.528","76.59","5.36"
"3","0.2","1E+19","0.15","2.93E-10","14.66","0.492","71.45","5.16"
"4","0.2","1E+19","0.15","3.55E-10","17.73","0.507","71.88","6.47"
"5","0.2","1E+19","0.15","4.01E-10","20.06","0.703","78.57","11.08"
"10","0.2","1E+19","0.15","4.74E-10","23.69","0.489","69.83","8.09"
"20","0.2","1E+19","0.15","5.86E-10","29.30","0.483","65.74","9.31"
"30","0.2","1E+19","0.15","5.85E-10","29.27","0.588","71.48","12.29"
"50","0.2","1E+19","0.15","4.27E-10","21.37","0.567","69.00","8.35"
"70","0.2","1E+19","0.15","2.79E-10","13.93","0.548","67.75","5.18"
"100","0.2","1E+19","0.15","7.82E-11","3.91","0.386","53.27","0.80"
"2","0.2","1000000000000","0.2","4.07E-10","20.33","0.849","87.10","15.03"
"3","0.2","1000000000000","0.2","4.34E-10","21.69","0.835","86.23","15.61"
"4","0.2","1000000000000","0.2","4.62E-10","23.08","0.823","86.38","16.41"
"5","0.2","1000000000000","0.2","4.86E-10","24.32","0.818","85.70","17.06"
"10","0.2","1000000000000","0.2","5.85E-10","29.26","0.800","86.02","20.13"
"20","0.2","1000000000000","0.2","6.94E-10","34.71","0.783","85.87","23.33"
"30","0.2","1000000000000","0.2","7.58E-10","37.91","0.773","85.57","25.09"
"50","0.2","1000000000000","0.2","8.33E-10","41.63","0.763","85.35","27.10"
"70","0.2","1000000000000","0.2","8.77E-10","43.84","0.756","84.88","28.12"
"100","0.2","1000000000000","0.2","9.20E-10","46.01","0.748","84.65","29.12"
"2","0.2","10000000000000","0.2","4.06E-10","20.32","0.849","87.10","15.03"
"3","0.2","10000000000000","0.2","4.34E-10","21.69","0.835","86.23","15.61"
"4","0.2","10000000000000","0.2","4.62E-10","23.08","0.823","86.38","16.41"
"5","0.2","10000000000000","0.2","4.86E-10","24.32","0.818","85.70","17.06"
"10","0.2","10000000000000","0.2","5.85E-10","29.26","0.800","85.99","20.12"
"20","0.2","10000000000000","0.2","6.94E-10","34.71","0.783","85.81","23.31"
"30","0.2","10000000000000","0.2","7.58E-10","37.91","0.773","85.53","25.07"
"50","0.2","10000000000000","0.2","8.33E-10","41.63","0.763","85.25","27.06"
"70","0.2","10000000000000","0.2","8.77E-10","43.84","0.755","84.81","28.08"
"100","0.2","10000000000000","0.2","9.20E-10","46.01","0.747","84.52","29.06"
"2","0.2","100000000000000","0.2","4.06E-10","20.32","0.849","87.09","15.02"
"3","0.2","100000000000000","0.2","4.34E-10","21.68","0.835","86.23","15.61"
"4","0.2","100000000000000","0.2","4.61E-10","23.07","0.823","86.38","16.41"
"5","0.2","100000000000000","0.2","4.86E-10","24.31","0.818","85.70","17.05"
"10","0.2","100000000000000","0.2","5.85E-10","29.25","0.798","85.62","19.99"
"20","0.2","100000000000000","0.2","6.94E-10","34.71","0.781","85.23","23.11"
"30","0.2","100000000000000","0.2","7.58E-10","37.91","0.771","85.10","24.87"
"50","0.2","100000000000000","0.2","8.33E-10","41.63","0.761","84.23","26.68"
"70","0.2","100000000000000","0.2","8.77E-10","43.84","0.752","84.11","27.73"
"100","0.2","100000000000000","0.2","9.20E-10","46.00","0.745","83.24","28.51"
"2","0.2","1000000000000000","0.2","4.05E-10","20.25","0.847","87.05","14.93"
"3","0.2","1000000000000000","0.2","4.32E-10","21.62","0.835","86.23","15.56"
"4","0.2","1000000000000000","0.2","4.60E-10","23.01","0.823","86.38","16.36"
"5","0.2","1000000000000000","0.2","4.85E-10","24.26","0.818","85.70","17.01"
"10","0.2","1000000000000000","0.2","5.84E-10","29.20","0.786","83.59","19.20"
"20","0.2","1000000000000000","0.2","6.93E-10","34.67","0.766","82.69","21.95"
"30","0.2","1000000000000000","0.2","7.57E-10","37.87","0.754","82.09","23.43"
"50","0.2","1000000000000000","0.2","8.32E-10","41.60","0.739","80.94","24.89"
"70","0.2","1000000000000000","0.2","8.76E-10","43.81","0.728","80.18","25.57"
"100","0.2","1000000000000000","0.2","9.19E-10","45.97","0.719","78.66","26.00"
"2","0.2","1.0E+16","0.2","3.94E-10","19.69","0.832","86.44","14.17"
"3","0.2","1.0E+16","0.2","4.22E-10","21.08","0.834","86.27","15.16"
"4","0.2","1.0E+16","0.2","4.50E-10","22.52","0.823","86.33","15.99"
"5","0.2","1.0E+16","0.2","4.76E-10","23.79","0.818","85.73","16.67"
"10","0.2","1.0E+16","0.2","5.75E-10","28.77","0.730","79.99","16.79"
"20","0.2","1.0E+16","0.2","6.86E-10","34.32","0.701","79.30","19.08"
"30","0.2","1.0E+16","0.2","7.51E-10","37.57","0.684","79.03","20.30"
"50","0.2","1.0E+16","0.2","8.27E-10","41.35","0.663","77.94","21.37"
"70","0.2","1.0E+16","0.2","8.72E-10","43.58","0.650","76.97","21.82"
"100","0.2","1.0E+16","0.2","9.15E-10","45.75","0.640","75.23","22.03"
"2","0.2","1.0E+17","0.2","3.48E-10","17.41","0.783","85.34","11.64"
"3","0.2","1.0E+17","0.2","3.75E-10","18.76","0.743","84.23","11.75"
"4","0.2","1.0E+17","0.2","4.11E-10","20.57","0.819","85.91","14.47"
"5","0.2","1.0E+17","0.2","4.39E-10","21.95","0.814","85.83","15.34"
"10","0.2","1.0E+17","0.2","5.36E-10","26.81","0.633","75.52","12.83"
"20","0.2","1.0E+17","0.2","6.56E-10","32.82","0.612","75.86","15.23"
"30","0.2","1.0E+17","0.2","7.27E-10","36.34","0.600","75.57","16.49"
"50","0.2","1.0E+17","0.2","8.07E-10","40.36","0.585","74.63","17.61"
"70","0.2","1.0E+17","0.2","8.51E-10","42.56","0.576","72.72","17.81"
"100","0.2","1.0E+17","0.2","8.86E-10","44.31","0.713","72.79","23.01"
"2","0.2","1.0E+18","0.2","2.94E-10","14.71","0.692","83.07","8.45"
"3","0.2","1.0E+18","0.2","3.14E-10","15.70","0.605","80.28","7.63"
"4","0.2","1.0E+18","0.2","3.73E-10","18.67","0.582","76.15","8.28"
"5","0.2","1.0E+18","0.2","4.09E-10","20.44","0.773","79.67","12.60"
"10","0.2","1.0E+18","0.2","4.89E-10","24.43","0.542","72.30","9.58"
"20","0.2","1.0E+18","0.2","6.24E-10","31.18","0.540","72.18","12.16"
"30","0.2","1.0E+18","0.2","6.89E-10","34.45","0.529","70.22","12.79"
"50","0.2","1.0E+18","0.2","7.02E-10","35.12","0.618","73.75","16.00"
"70","0.2","1.0E+18","0.2","5.49E-10","27.44","0.502","60.20","8.30"
"100","0.2","1.0E+18","0.2","3.23E-10","16.17","0.481","57.58","4.48"
"2","0.2","1E+19","0.2","2.69E-10","13.45","0.470","66.54","4.21"
"3","0.2","1E+19","0.2","3.00E-10","14.98","0.463","66.95","4.65"
"4","0.2","1E+19","0.2","3.56E-10","17.78","0.481","68.34","5.84"
"5","0.2","1E+19","0.2","4.00E-10","20.02","0.669","78.03","10.44"
"10","0.2","1E+19","0.2","4.92E-10","24.58","0.596","74.90","10.97"
"20","0.2","1E+19","0.2","4.54E-10","22.68","0.468","58.27","6.19"
"30","0.2","1E+19","0.2","2.78E-10","13.90","0.438","55.01","3.35"
"50","0.2","1E+19","0.2","1.03E-10","5.17","0.395","54.91","1.12"
"70","0.2","1E+19","0.2","5.32E-11","2.66","0.366","55.27","0.54"
"100","0.2","1E+19","0.2","2.95E-11","1.47","0.341","55.34","0.28"
"2","0.2","1000000000000","0.25","4.07E-10","20.33","0.849","87.10","15.03"
"3","0.2","1000000000000","0.25","4.34E-10","21.69","0.835","86.23","15.61"
"4","0.2","1000000000000","0.25","4.62E-10","23.08","0.823","86.38","16.41"
"5","0.2","1000000000000","0.25","4.86E-10","24.32","0.818","85.70","17.06"
"10","0.2","1000000000000","0.25","5.85E-10","29.26","0.800","86.02","20.13"
"20","0.2","1000000000000","0.25","6.94E-10","34.70","0.781","85.68","23.22"
"30","0.2","1000000000000","0.25","7.58E-10","37.91","0.773","85.56","25.09"
"50","0.2","1000000000000","0.25","8.33E-10","41.63","0.763","85.34","27.10"
"70","0.2","1000000000000","0.25","8.77E-10","43.84","0.756","84.88","28.11"
"100","0.2","1000000000000","0.25","9.20E-10","46.01","0.748","84.64","29.11"
"2","0.2","10000000000000","0.25","4.06E-10","20.32","0.849","87.10","15.03"
"3","0.2","10000000000000","0.25","4.34E-10","21.69","0.835","86.23","15.61"
"4","0.2","10000000000000","0.25","4.62E-10","23.08","0.823","86.38","16.41"
"5","0.2","10000000000000","0.25","4.86E-10","24.32","0.818","85.70","17.06"
"10","0.2","10000000000000","0.25","5.85E-10","29.26","0.800","85.96","20.11"
"20","0.2","10000000000000","0.25","6.94E-10","34.70","0.781","85.59","23.19"
"30","0.2","10000000000000","0.25","7.58E-10","37.91","0.773","85.50","25.06"
